FILE=C:\Users\Li Hanyu\Desktop\智测未来.pptx
SLIDES=22
SIZE=960x540

=== SLIDE 1 | layout=空白 ===
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=-6.2 y=-9.3 w=969.2 h=549.3 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=60.1 y=-244.5 w=696.9 h=712.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=-69.7 y=-80.1 w=528.0 h=540.0 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=0.0 y=0.0 w=960.0 h=473.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=491.4 y=-109.4 w=528.0 h=540.0 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=268.3 y=-50.1 w=431.8 h=441.6 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=1 x=0.1 y=-7.6 w=960.0 h=540.0 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=-69.4 y=-65.9 w=528.0 h=361.0 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=11 x=115.9 y=-88.2 w=326.7 h=334.1 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=0.0 y=172.2 w=960.0 h=367.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=0.0 y=286.2 w=960.0 h=253.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=3.5 y=-70.5 w=960.0 h=525.3 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=0.1 y=311.3 w=964.4 h=230.9 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=75.0 y=27.6 w=689.9 h=444.2 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=133.6 y=-107.5 w=455.3 h=417.4 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=11 x=384.7 y=12.5 w=326.7 h=334.1 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=343.1 y=-40.9 w=273.7 h=621.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=241.1 y=-63.5 w=105.5 h=177.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=1 x=359.1 y=266.2 w=241.8 h=241.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=120.8 y=56.8 w=286.9 h=293.4 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=59.9 y=71.9 w=95.1 h=160.2 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=374.0 y=92.4 w=95.1 h=160.2 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=148.5 y=77.6 w=204.6 h=361.6 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=304.3 y=78.3 w=191.9 h=362.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=-8.6 y=56.2 w=233.0 h=363.0 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=162.6 y=33.6 w=148.0 h=249.4 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=282.6 y=-19.2 w=105.5 h=177.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=0.4 y=291.1 w=604.8 h=95.7 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=70.6 y=409.7 w=744.5 h=68.5 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=773.3 y=311.6 w=211.2 h=306.0 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=585.6 y=52.2 w=370.4 h=339.6 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=563.7 y=92.8 w=370.4 h=339.6 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=586.1 y=2.8 w=373.9 h=461.5 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=511.3 y=0.0 w=448.7 h=302.7 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=573.0 y=88.4 w=387.5 h=387.5 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=5 x=784.6 y=176.8 w=2.9 h=2.9 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=476.1 y=77.7 w=105.5 h=177.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=498.9 y=93.4 w=95.1 h=160.2 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=440.8 y=72.3 w=191.9 h=362.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=5 x=725.7 y=220.3 w=2.7 h=2.7 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=1 x=468.0 y=281.6 w=24.0 h=24.0 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=1 x=468.0 y=258.0 w=24.0 h=24.0 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=876.7 y=436.1 w=25.4 h=53.9 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=345.8 y=88.8 w=105.5 h=177.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=558.7 y=47.8 w=105.5 h=177.8 text=

=== SLIDE 2 | layout=空白 ===
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=-6.2 y=-9.3 w=969.2 h=549.3 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=60.1 y=-244.5 w=696.9 h=712.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=264.5 y=-46.1 w=431.8 h=441.6 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=-69.4 y=-65.9 w=528.0 h=361.0 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=773.3 y=311.6 w=211.2 h=306.0 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=11 x=115.9 y=-88.2 w=326.7 h=334.1 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=0.0 y=172.2 w=960.0 h=367.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=0.0 y=44.3 w=890.8 h=495.7 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=5 x=2.1 y=138.3 w=957.9 h=401.7 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=5 x=2.1 y=138.3 w=957.9 h=401.7 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=75.0 y=27.6 w=689.9 h=444.2 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=585.6 y=52.2 w=370.4 h=339.6 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=11 x=384.7 y=12.5 w=326.7 h=334.1 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=563.7 y=92.8 w=370.4 h=339.6 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=343.1 y=-40.9 w=273.7 h=621.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=1 x=359.1 y=266.2 w=241.8 h=241.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=101.0 y=53.7 w=105.5 h=177.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=13 x=120.8 y=56.8 w=286.9 h=293.4 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=52.0 y=35.5 w=890.3 h=48.6 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=1 x=52.0 y=278.8 w=850.9 h=132.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=17 x=317.9 y=348.7 w=210.7 h=38.6 text=需求量不断攀升
shape=PA-原创小红书雷点PPT禁止盗用 type=1 x=49.6 y=115.4 w=857.4 h=130.7 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=683.2 y=249.0 w=190.6 h=190.6 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=84.0 y=322.0 w=120.1 h=32.0 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=215.5 y=322.3 w=111.9 h=30.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=74.6 y=135.1 w=549.0 h=93.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=879.1 y=113.4 w=30.1 h=19.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=49.9 y=115.9 w=30.1 h=19.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=875.9 y=226.3 w=30.1 h=19.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=48.5 y=226.3 w=30.1 h=19.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=49.8 y=277.4 w=32.2 h=132.2 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=875.5 y=278.6 w=28.0 h=131.8 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=93.2 y=102.7 w=230.2 h=41.4 text=
shape=PA-原创小红书雷点PPT禁止盗用 type=6 x=92.7 y=259.9 w=226.7 h=41.2 text=
